Sim,,,,Camera reception,,,,distance,,,,,,
%time,field.data,,,%time,field.data,,,%time,field.data,,,ARUCO + DISTANCE CALCULATION,,SIM – DISTANCE 
1593025749004430055,1593025748834510986,169.919232,,1593025749005076885,1593025749003559112,1.517824,,1593025749057482957,1593025749056611061,0.871936,,53.051904,,222.099968
1593025749128859043,1593025748945027099,183.832064,,1593025749128376960,1593025749126605987,1.770752,,1593025749175724029,1593025749175055027,0.668928,,48.449024,,230.028288
1593025749400758981,1593025749169905029,230.853888,,1593025749402105093,1593025749399363040,2.742016,,1593025749453278064,1593025749452733039,0.545024,,53.370368,,282.828288
1593025749541115045,1593025749380611083,160.504064,,1593025749541743993,1593025749540963888,0.780288,,1593025749598030090,1593025749597522974,0.507136,,56.559104,,216.912128
1593025749659044027,1593025749502404052,156.64,,1593025749659837961,1593025749658518075,1.319936,,1593025749712819099,1593025749712043046,0.775936,,53.524992,,209.639168
1593025749754198074,1593025749615301025,138.896896,,1593025749754890918,1593025749753742933,1.147904,,1593025749806637048,1593025749805536985,1.100288,,51.79392,,190.235648
1593025749897233009,1593025749729267089,167.965952,,1593025749897872924,1593025749897022962,0.84992,,1593025749951922893,1593025749951311111,0.611584,,54.28864,,222.044416
1593025750013391971,1593025749856771972,156.620032,,1593025750013952016,1593025750011976003,1.976064,,1593025750064356088,1593025750063601970,0.75392,,51.625984,,206.83008
1593025750122683048,1593025749972061035,150.621696,,1593025750123574972,1593025750123002052,0.572928,,1593025750176696062,1593025750175976991,0.719104,,52.975104,,203.915776
1593025750231992006,1593025750081253173,150.738944,,1593025750232816934,1593025750231142044,1.674496,,1593025750280324935,1593025750279738903,0.585984,,48.596736,,198.48576
1593025750366175889,1593025750201552001,164.623872,,1593025750365832090,1593025750364161968,1.669888,,1593025750423118114,1593025750422517061,0.600832,,58.3552,,220.965376
1593025750470206022,1593025750319463134,150.74304,,1593025750469834089,1593025750468414068,1.420032,,1593025750527769088,1593025750527201890,0.567296,,58.78784,,207.73888
1593025750597923994,1593025750436728027,161.195776,,1593025750599328994,1593025750597326040,2.002688,,1593025750656717061,1593025750656114101,0.603136,,58.78784,,219.385856
1593025750710403919,1593025750546875976,163.52768,,1593025750712301969,1593025750709779024,2.523136,,1593025750761732101,1593025750760981082,0.750848,,51.202048,,214.104832
1593025750829812049,1593025750676166015,153.645568,,1593025750830343961,1593025750829088926,1.255168,,1593025750879826068,1593025750879199981,0.62592,,50.111232,,203.033856
1593025750943794012,1593025750789510986,154.283264,,1593025750943399906,1593025750942125082,1.27488,,1593025750996414899,1593025750995831012,0.58368,,53.705984,,206.320384
1593025751063821077,1593025750908715087,155.106048,,1593025751064606904,1593025751063425064,1.181696,,1593025751120131969,1593025751119642019,0.489984,,56.216832,,210.926848
1593025751164509057,1593025751023505126,141.003776,,1593025751164510011,1593025751164005994,0.504064,,1593025751218472003,1593025751217890977,0.58112,,53.884672,,194.385408
1593025751288357973,1593025751145625976,142.732288,,1593025751288928031,1593025751287659883,1.268224,,1593025751335345983,1593025751334695100,0.651008,,47.035136,,189.069056
1593025751436791896,1593025751253734130,183.057664,,1593025751438314914,1593025751436981916,1.332992,,1593025751487792968,1593025751487041950,0.750592,,50.060032,,233.307904
1593025751540810108,1593025751367614990,173.195264,,1593025751541125059,1593025751539084911,2.04032,,1593025751595643997,1593025751595048904,0.5952,,55.96416,,227.43424
1593025751661339998,1593025751474357177,186.982912,,1593025751663397073,1593025751660773038,2.624,,1593025751716793060,1593025751716244935,0.548096,,55.471616,,241.887488
1593025751755064010,1593025751595932128,159.131904,,1593025751755630016,1593025751753190994,2.439424,,1593025751806205987,1593025751805664062,0.541952,,52.473344,,209.73184
1593025751873475074,1593025751700656005,172.818688,,1593025751873965978,1593025751872764110,1.20192,,1593025751919796943,1593025751919231891,0.564992,,46.467584,,218.575616
1593025752110961914,1593025751916039062,194.922752,,1593025752110416889,1593025752109605073,0.81152,,1593025752158700942,1593025752158206939,0.49408,,48.6016,,242.167552
1593025752260412931,1593025752083828125,176.585216,,1593025752260725975,1593025752259376049,1.349888,,1593025752308218002,1593025752307691097,0.526848,,48.31488,,223.863296
1593025752376507043,1593025752195265136,181.2416,,1593025752382016897,1593025752375802040,6.214656,,1593025752424704074,1593025752424212932,0.491264,,48.41088,,228.947456
1593025752503839015,1593025752325943115,177.895936,,1593025752504323959,1593025752503129005,1.194752,,1593025752556989908,1593025752556410074,0.580096,,53.280768,,230.466816
1593025752622175931,1593025752446667968,175.507712,,1593025752621656894,1593025752620312929,1.344,,1593025752673492908,1593025752672877073,0.61568,,52.563968,,226.208768
1593025752728074073,1593025752557145996,170.928128,,1593025752728635072,1593025752727483987,1.15072,,1593025752778641939,1593025752777956962,0.685056,,50.472704,,220.811008
1593025752839360952,1593025752669023193,170.33728,,1593025752839772939,1593025752838054895,1.718016,,1593025752888137102,1593025752887352943,0.784384,,49.298176,,218.3296
1593025753081442117,1593025752885698974,195.742976,,1593025753081023931,1593025753079624891,1.39904,,1593025753128493070,1593025753127899885,0.593152,,48.274944,,242.201088
1593025753215142011,1593025753058997070,156.144896,,1593025753214440107,1593025753213236093,1.204224,,1593025753261574983,1593025753260916948,0.65792,,47.681024,,201.919488
1593025753339186906,1593025753175177978,164.00896,,1593025753340863943,1593025753338589906,2.273792,,1593025753391392946,1593025753390837907,0.554752,,52.247808,,215.660032
1593025753458945989,1593025753318791992,140.154112,,1593025753460016965,1593025753458115100,1.901568,,1593025753508944034,1593025753508326053,0.617728,,50.211072,,189.534208
1593025753570606946,1593025753423656982,146.949632,,1593025753575469970,1593025753569955110,5.514752,,1593025753620488882,1593025753619698047,0.79104,,49.742592,,196.04096
1593025753692715883,1593025753543008056,149.707776,,1593025753694457054,1593025753692087888,2.369024,,1593025753738142013,1593025753737601041,0.541184,,45.513216,,194.593024
1593025753830313920,1593025753655354980,174.959104,,1593025753831866979,1593025753829765081,2.10176,,1593025753884511947,1593025753883881092,0.63104,,54.11584,,228.52608
1593025753941653013,1593025753775649169,166.003712,,1593025753942009925,1593025753940406084,1.60384,,1593025753989641904,1593025753988964080,0.678144,,48.557824,,213.31456
1593025754065988063,1593025753883594970,182.393088,,1593025754068070888,1593025754065519094,2.551552,,1593025754119815111,1593025754119153976,0.661248,,53.634816,,235.559168
1593025754179373025,1593025754006478027,172.894976,,1593025754180399894,1593025754179008007,1.391616,,1593025754227935075,1593025754227379083,0.556032,,48.370944,,220.900864
1593025754337325096,1593025754118906005,218.4192,,1593025754339113950,1593025754337517023,1.596928,,1593025754393526077,1593025754392956972,0.569088,,55.439872,,274.051072
1593025754442603111,1593025754289865966,152.73728,,1593025754445168018,1593025754442255020,2.913024,,1593025754497874975,1593025754497293949,0.580864,,55.038976,,207.428096
1593025754559694051,1593025754399682128,160.012032,,1593025754561039924,1593025754559251070,1.788928,,1593025754615566015,1593025754614518880,1.047296,,55.26784,,214.836736
1593025754688009023,1593025754510822998,177.186304,,1593025754691088914,1593025754688256978,2.832128,,1593025754752283096,1593025754751336097,0.946944,,63.079424,,240.51328
